Sta,CD,Member Elected,Party,PVI,Rank,Winner2012,Margin,Romney,Obama,Cong,Winner2008,Margin,McCain,Obama,Net%
CA,31,"MILLER, GARY G. (R)",REPUBLICAN,D+ 5,286,Obama,-17,41,57,OR,Obama,-15,41,57,1
CA,32,"Napolitano, Grace F. (D)",DEMOCRAT,D+12,338,Obama,-33,33,65,,Obama,-27,36,62,3
CA,33,"Waxman, Henry A. (D)",DEMOCRAT,D+11,330,Obama,-24,37,61,,Obama,-30,34,64,-3
CA,34,"Becerra, Xavier (D)",DEMOCRAT,D+30,418,Obama,-69,14,83,,Obama,-61,18,79,4
CA,35,"Negrete McLeod, Gloria (D)",DEMOCRAT,D+15,355,Obama,-37,31,67,,Obama,-33,33,65,2
CA,36,"Ruiz, Raul (D)",DEMOCRAT,R+ 1,232,Obama,-3,48,51,,Obama,-3,48,51,0
CA,37,"Bass, Karen R. (D)",DEMOCRAT,D+34,425,Obama,-72,13,85,,Obama,-73,13,85,0
CA,38,"Sanchez, Linda T. (D)",DEMOCRAT,D+12,334,Obama,-32,33,65,,Obama,-25,36,62,3
CA,39,"ROYCE, EDWARD R. (R)",REPUBLICAN,R+ 5,194,Romney,-4,51,47,,McCain,-3,50,48,0
CA,40,"Roybal-Allard, Lucille (D)",DEMOCRAT,D+29,414,Obama,-65,17,82,,Obama,-59,20,79,3
CA,41,"Takano, Mark (D)",DEMOCRAT,D+ 9,319,Obama,-25,36,62,,Obama,-21,39,59,2
CA,42,"CALVERT, KEN (R)",REPUBLICAN,R+10,134,Romney,-15,57,41,,McCain,-11,55,44,-2
CA,43,"Waters, Maxine (D)",DEMOCRAT,D+26,402,Obama,-58,20,78,,Obama,-55,22,76,2
CA,44,"Hahn, Janice (D)",DEMOCRAT,D+32,421,Obama,-71,14,85,,Obama,-67,16,83,2
CA,45,"CAMPBELL, JOHN (R)",REPUBLICAN,R+ 7,162,Romney,-12,55,43,,McCain,-4,51,47,-4
CA,46,"Sanchez, Loretta (D)",DEMOCRAT,D+ 9,315,Obama,-25,36,61,,Obama,-20,39,59,3
CA,47,"Lowenthal, Alan S. (D)",DEMOCRAT,D+ 8,304,Obama,-23,38,60,,Obama,-19,39,58,2
CA,48,"ROHRABACHER, DANA (R)",REPUBLICAN,R+ 7,161,Romney,-12,55,43,,McCain,-5,51,46,-3
CA,49,"ISSA, DARRELL E. (R)",REPUBLICAN,R+ 4,200,Romney,-7,52,46,,Obama,(1)#,49,50,-4
CA,50,"HUNTER, DUNCAN D. (R)",REPUBLICAN,R+14,81,Romney,-23,60,38,,McCain,-19,59,40,-2
CA,51,"Vargas, Juan (D)",DEMOCRAT,D+16,361,Obama,-41,29,69,,Obama,-34,32,66,3
CA,52,"Peters, Scott H. (D)",DEMOCRAT,D+ 2,257,Obama,-6,46,52,,Obama,-12,43,55,-3
CA,53,"Davis, Susan A. (D)",DEMOCRAT,D+10,323,Obama,-25,36,61,,Obama,-25,37,62,0
CO,1,"DeGette, Diana (D)",DEMOCRAT,D+18,374,Obama,-40,29,69,,Obama,-43,28,71,-2
CO,2,"Polis, Jared (D)",DEMOCRAT,D+ 8,306,Obama,-18,40,58,,Obama,-24,37,61,-3
CO,3,"TIPTON, SCOTT R. (R)",REPUBLICAN,R+ 5,188,Romney,-6,52,46,,McCain,(2)#,50,49,-3
