,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
47,20682000558,2447457492,1,113,N,1301,31.3174384,-81.9425449,C2,G5200,Congressional District 1,13,2.191620883,11.20599642,0.21932
48,20834364180,2213376508,4,113,N,2804,30.9941864,-89.0903341,C2,G5200,Congressional District 4,28,2.176491328,8.222340842,0.40455
49,1085511432,55747042,11,113,N,2611,42.5300018,-83.4539962,C2,G5200,Congressional District 11,26,0.125051225,3.185983638,0.15481
50,1792017120,48834168,4,113,N,3404,40.165313,-74.316741,C2,G5200,Congressional District 4,34,0.19460873,3.328462858,0.22074
51,558433891,502932439,6,113,N,3406,40.3549202,-74.2026491,C2,G5200,Congressional District 6,34,0.11262095,3.223963804,0.13616
52,5419960974,2031578174,2,113,N,3402,39.3926472,-74.9086734,C2,G5200,Congressional District 2,34,0.7792424,5.308573189,0.34748
53,16498757811,1870498309,17,113,N,1217,27.3174741,-81.5482955,C2,G5200,Congressional District 17,12,1.67491023,7.798604267,0.34607
54,1943129639,1597411456,19,113,N,1219,26.431616,-81.9067394,C2,G5200,Congressional District 19,12,0.320363005,3.623090989,0.30669
55,8509756400,4736024887,1,113,N,2301,43.8304074,-69.9408789,C2,G5200,Congressional District 1,23,1.482443504,10.58708025,0.1662
56,9941251623,209789919,3,113,N,1303,33.1505217,-84.728664,C2,G5200,Congressional District 3,13,0.981048816,6.589989141,0.28388
57,491040131,7081108,1,113,N,801,39.7322859,-104.9087582,C2,G5200,Congressional District 1,8,0.052333873,2.638147803,0.09449
58,885996668,25114102,7,113,N,807,39.8261495,-105.0422237,C2,G5200,Congressional District 7,8,0.095851609,2.954482657,0.13799
59,10290387280,3222827534,27,113,N,3627,43.0008504,-78.3168825,C2,G5200,Congressional District 27,36,1.491835499,8.00114297,0.29284
60,1321403917,1831738123,25,113,N,3625,43.3302569,-77.7313883,C2,G5200,Congressional District 25,36,0.349960374,2.910044437,0.51931
61,71374035018,7014298014,2,113,N,2302,45.4804487,-69.0561144,C2,G5200,Congressional District 2,23,9.026600351,19.55443731,0.29665
62,85126246360,450252881,8,113,N,608,35.6625568,-116.8195456,C2,G5200,Congressional District 8,6,8.521353143,19.78599236,0.27353
63,6013919704,277823383,2,113,N,4702,36.0503257,-83.8211985,C2,G5200,Congressional District 2,47,0.629288372,8.544386485,0.10832
64,6087288902,129395582,1,113,N,2501,42.3310362,-72.8641678,C2,G5200,Congressional District 1,25,0.678944036,5.45210146,0.28702
65,4216565103,221665702,2,113,N,2502,42.3850416,-72.1186908,C2,G5200,Congressional District 2,25,0.485196493,4.823819947,0.26203
66,2452991942,548889272,3,113,N,5103,37.2135279,-76.951135,C2,G5200,Congressional District 3,51,0.304721868,6.842379954,0.08179
67,170515938,126197973,11,113,N,3611,40.5669743,-74.1263136,C2,G5200,Congressional District 11,36,0.031553109,0.948926589,0.44034
68,17956337592,339201156,17,113,N,1717,41.3894669,-90.2186532,C2,G5200,Congressional District 17,17,1.969730575,11.48240825,0.18774
69,1803015015,329878145,18,113,N,618,37.2021322,-122.1537117,C2,G5200,Congressional District 18,6,0.216484384,3.465918878,0.22646
70,12624166135,1574866867,20,113,N,620,36.3732865,-121.2752181,C2,G5200,Congressional District 20,6,1.425983722,6.722429725,0.39653
71,15713054160,2275852112,1,113,N,101,31.0020519,-87.7879717,C2,G5200,Congressional District 1,1,1.699177308,11.56301419,0.1597
72,633326831,1310790296,11,113,N,3911,41.61325,-81.5310366,C2,G5200,Congressional District 11,39,0.210128822,4.310599797,0.14211
73,14572561099,72211019,5,113,N,3905,41.155751,-84.0447886,C2,G5200,Congressional District 5,39,1.571038261,7.963553252,0.3113
74,2782938217,82841835,3,113,N,4103,45.399831,-122.2286787,C2,G5200,Congressional District 3,41,0.329291278,4.30723079,0.22305
75,13441088909,1207395904,5,113,N,4105,45.0283647,-123.1951639,C2,G5200,Congressional District 5,41,1.672342668,12.24902336,0.14007
76,861287612,84509184,4,113,N,2704,45.0027128,-92.9773663,C2,G5200,Congressional District 4,27,0.107941971,1.60576939,0.52606
77,351406683,16686352,5,113,N,2705,44.9809694,-93.2942005,C2,G5200,Congressional District 5,27,0.041994683,1.190740361,0.37219
78,1286289173,22911803,4,113,N,1304,33.6996,-84.0505632,C2,G5200,Congressional District 4,13,0.127313587,2.468666209,0.26252
79,10826590949,135462412,3,113,N,1803,41.0965541,-85.2361776,C2,G5200,Congressional District 3,18,1.175041284,5.205059901,0.54502
80,85985850819,503981072,4,113,N,404,34.5909175,-113.2045275,C2,G5200,Congressional District 4,4,8.501934376,29.71547094,0.12099
81,10949927891,526917021,7,113,N,2607,42.0936084,-84.3049549,C2,G5200,Congressional District 7,26,1.249012483,7.724109555,0.26308
82,3365059049,44884831,4,113,N,4504,34.9417009,-82.1701563,C2,G5200,Congressional District 4,45,0.336464839,4.047487983,0.25809
83,4475186521,2524351258,1,113,N,5501,42.6952148,-88.0463951,C2,G5200,Congressional District 1,55,0.768955997,6.090525479,0.2605
84,134399412,184588482,5,113,N,3605,40.5991791,-73.8223027,C2,G5200,Congressional District 5,36,0.033937876,1.337533825,0.23839
85,471484236,373962093,2,113,N,3602,40.6853292,-73.2884866,C2,G5200,Congressional District 2,36,0.090057487,1.633691979,0.42402
86,660307121,301713541,3,113,N,3603,40.8604959,-73.5053788,C2,G5200,Congressional District 3,36,0.102745374,1.741376802,0.42578
